id,title_cn,title_jp,title_en,region,type,rating,points_count,center_lat,center_lng,cover_url,bgm_id
25833,剧场版 魔法少女小圆 [前篇] 起始的物语,劇場版 魔法少女まどか☆マギカ [前編] 始まりの物語,,,剧场版,7.9,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/fa/1d/25833_kZIjD.jpg,
265708,女高中生的无所事事,女子高生の無駄づかい,,东村山市,TV,7.6,65,35.805687,139.780592,https://w.junreimap.com/images/bangumi/265708.jpg,
305058,BanG Dream! Episode of Roselia Ⅰ,BanG Dream! Episode of Roselia Ⅰ : 約束,,东京都,剧场版,6.3,17,0,0,http://bgm-api.anitabi.cn/pic/cover/l/ca/70/305058_xeEEN.jpg,
315490,,BanG Dream! Episode of Roselia Ⅱ : Song I am.,,东京都,剧场版,6.6,10,0,0,http://bgm-api.anitabi.cn/pic/cover/l/ed/47/315490_oowWP.jpg,
526043,外星人姆姆,宇宙人ムームー,,町田市,TV,6.3,6,35.407205,139.485094,http://bgm-api.anitabi.cn/pic/cover/l/1f/8e/526043_BzVh4.jpg,
176518,星之梦,planetarian～ちいさなほしのゆめ～,,滨松市,WEB,7.4,16,34.721833,137.732789,https://w.junreimap.com/images/bangumi/176518.jpg,4848
425605,电影 GIVEN 柊mix,映画 ギヴン 柊mix,,町田市,剧场版,6,16,35.551223,139.453267,https://w.junreimap.com/images/bangumi/425605.jpg,1068
90516,FLOWERS 春篇,FLOWERS - Le volume sur printemps -,,桑名市,游戏,7.4,3,35.070927,136.692451,https://w.junreimap.com/images/bangumi/90516.jpg,102242
443,交响情人梦,のだめカンタービレ,,,TV,8,2,0,0,http://bgm-api.anitabi.cn/pic/cover/l/13/f3/443_8yZla.jpg,
446296,拉撒路,LAZARUS,,,TV,6,2,0,0,http://bgm-api.anitabi.cn/pic/cover/l/29/22/446296_rRM5n.jpg,
409483,天使☆嚣嚣 RE-BOOT!,天使☆騒々 RE-BOOT!,,,游戏,0,6,0,0,https://w.junreimap.com/images/bangumi/409483_p4y8yfa7z.jpg,
239565,孤独的美食家 第七季,孤独のグルメ Season7,,,日剧,7.7,13,0,0,http://bgm-api.anitabi.cn/pic/cover/l/a6/8d/239565_A2Uq9.jpg,
104614,孤独的美食家 第四季,孤独のグルメ Season4,,,日剧,7.8,15,0,0,http://bgm-api.anitabi.cn/pic/cover/l/f6/16/104614_icTTi.jpg,
